CIN,Name,roc,status
L72900DL2004PLC126096,CITYON SYSTEMS (INDIA) LIMITED,Delhi,Active
AAE-7662,S A A TRADING MART LLP,Delhi,Active
U63040DL2012PTC243308,DREAM O TRAVELZ PRIVATE LIMITED,Delhi,Active
U65992DL1986PTC024550,JEEVIKA CHITS PRIVATE LIMITED,Delhi,Strike Off
U67120DL1994PLC062707,BKJ SHARE BROKERS LIMITED,Delhi,Strike Off
U72200DL1996PTC080459,VNV SOFTWARE PRIVATE LIMITED,Delhi,Active
U72200DL2015PTC282537,GIANT TECH LABS PRIVATE LIMITED,Delhi,Active
U67190DL2013PTC262770,MYLOAN FINANCIAL SERVICES PRIVATE LIMITED,Delhi,Strike Off
U51495DL1999PTC101024,GENESIS POLYMERS PRIVATE LIMITED,Delhi,Strike Off
U51498DL1984PTC107863,GRASSMORE PRODUCTS PRIVATE LIMITED,Delhi,Amalgamated
U45201DL2006PTC144513,JAIPURIA TOWNSHIP PRIVATE LIMITED,Delhi,Strike Off
AAN-2721,AD REALTECH LLP,Delhi,Active
U40106DL2011PTC219370,PLF ENERGY MAXIMA PRIVATE LIMITED,Delhi,Strike Off
AAU-9804,CORPSAGE LEGAL LLP,Delhi,Active
U74999DL2017PTC321953,NUOS ELECTRONICS PRIVATE LIMITED,Delhi,Active
U74999DL2020PTC372014,INDISKART ECOMMERCE SERVICES PRIVATE LIMITED,Delhi,Active
U74900DL2015PTC279855,PURVANCHAL VS PROMOTERS AND DEVELOPERS PRIVATE LIMITED,Delhi,Active
U74140DL2010PTC198150,JKM ESERVICES PRIVATE LIMITED,Delhi,Strike Off
U70109DL2013PTC249665,AMARA CONSTRUCTIONS AND DEVELOPERS PRIVATE LIMITED,Delhi,Strike Off
U70109DL2014PTC265587,LORJ REALTORS PRIVATE LIMITED,Delhi,Strike Off
U45204DL2011PTC229173,S.R.C INFRA REALTORS PRIVATE LIMITED,Delhi,Active
U45200DL1984PTC018132,S.J. CONSTRUCTION PRIVATE LIMITED,Delhi,Strike Off
U45200DL2012PTC230033,ASHOKA PROCON PRIVATE LIMITED,Delhi,Strike Off
U63010DL2012PTC244279,LORDS CARGO SERVICES PRIVATE LIMITED,Delhi,Strike Off
U92419DL2019PTC353117,ZIMAN SALES INTERNATIONAL PRIVATE LIMITED,Delhi,Active
U74899DL1949PTC001552,BANWARI LAL AND SONS PRIVATE LTD,Delhi,Active
U74899DL1983PTC015833,SHIV LAL KANSHI RAM PRIVATE LIMITED,Delhi,Active
U74899DL1990PTC041718,AURO POLYMERS PRIVATE LIMITED,Delhi,Active
U74899DL1995PLC064629,BHARAT RASAYAN FINANCE LIMITED,Delhi,Active
U74899DL2001PTC109089,VKD IMPEX PRIVATE LIMITED,Delhi,Active
U80302DL2018PTC333443,DILIGENT LEARNING PRIVATE LIMITED,Delhi,Active
U74999DL2019PTC355022,ATOM POWER PROJECTS PRIVATE LIMITED,Delhi,Active
U29193DL2006PTC144356,DYNAPRO ENGINEERS PRIVATE LIMITED,Delhi,Strike Off
U24100DL2019PTC356473,BIOME LIFE SCIENCES INDIA PRIVATE LIMITED,Delhi,Active
U51397DL2008PTC181034,QNT SPORT INDIA PRIVATE LIMITED,Delhi,Active
U74210DL2006PTC145454,G.EDU VISTAS CONSULTANTS PRIVATE LIMITED,Delhi,Strike Off
U15430DL1952PTC002198,MOHANLAL MOTIRAM CONFECTIONERS PRIVATE LIMITED,Delhi,Strike Off
U24246DL1969PTC005073,COSMETIC AND CHEMICALS PRIVATE LIMITED,Delhi,Strike Off
U17120DL1980PTC011091,SHREE SARASWATI SPINNING MILLS PRIVATE LIMITED,Delhi,Strike Off
U17290DL1987PTC027489,VIRK IMPEX PRIVATE LIMITED,Delhi,Strike Off
U18109DL2001PTC111916,KARMIC ATELIER PRIVATE LIMITED,Delhi,Strike Off
U65921DL1992PTC050159,SMV LAND LEASING & FINANCE PRIVATE LIMITED,Delhi,Strike Off
U65992DL1946PTC000930,6.M.CHIT FUND PRIVATE LIMITED,Delhi,Active
U64120DL1999PTC102135,ILINK COMMUNICATIONS PRIVATE LIMITED,Delhi,Strike Off
U70200DL2010PTC200542,GOLDEN EARTH REALTORS PRIVATE LIMITED,Delhi,Strike Off
U72200DL2005PTC142580,MANGLA I T ENABLED SERVICES PRIVATE LIMITED,Delhi,Strike Off
U51909DL2002PTC113736,BIACCI EXPORTS (INDIA) PRIVATE LIMITED,Delhi,Strike Off
U51909DL2005PTC142987,KING DORIAN IMPEX PRIVATE LIMITED,Delhi,Active
U34300DL1949PTC001710,SANGHI BROS PRIVATE LIMITED,Delhi,Strike Off
U35923DL1973PLC006773,CORONA RIM MANUFACTURING COMPANY LIMITED,Delhi,Active
U45202DL2001PTC112781,GANGA DEVELOPERS PRIVATE LIMITED,Delhi,Strike Off
U74910DL2005PTC141801,A D I JOBS SERVICES PRIVATE LIMITED,Delhi,Strike Off
U74899DL1987PTC028108,DUKE HOTELS PRIVATE LIMITED,Delhi,Strike Off
U74899DL1987PTC029764,DOMESTIC EXPORTS (INDIA) PRIVATE LIMITED,Delhi,Strike Off
U74899DL1994PTC057973,A K S C ENTERPRISES PRIVATE LIMITED,Delhi,Strike Off
U74899DL2001PTC109316,BLUE SKY MIND COMMUNICATIONS PRIVATE LIMITED,Delhi,Active
U74900DL1956PTC003015,RIV-INDIA PRIVATE LIMITED,Delhi,Strike Off
U74900DL1960PTC003173,SURJIT MOTORS PRIVATE LIMITED,Delhi,Strike Off
U74900DL1961PTC003378,CRYSTIC RESINS (INDIA) PRIVATE LIMITED,Delhi,Strike Off
U74999DL1901PTC005459,GHATRA KAOLIN PRIVATE LIMITED,Delhi,Strike Off
U74999DL1901PTC018880,COTET INDIA PRIVATE LIMITED,Delhi,Strike Off
U74999DL1902PTC000513,BERSETT BROTHERS PRIVATE LIMITED,Delhi,Strike Off
U74999DL1909PTC002881,R.L. OBEROI COMPANY PRIVATE LIMITED,Delhi,Strike Off
U74999DL2000PLC108373,NARANG DISTILLERY LIMITED,Delhi,Not available for efiling
U74999DL2001PTC111424,HY-LOK INDIA PRIVATE LIMITED,Delhi,Strike Off
U74899DL1946PTC000988,HIND SALES CORPN PVT LTD,Delhi,Active
U74899DL1985PTC019881,SONIA MOTOR FINANCE PRIVATE LIMITED,Delhi,Active
U90009DL2004PTC127880,MAXI-FLOW SANITATIONS PRIVATE LIMITED,Delhi,Strike Off
U92199DL2002PTC116847,WINGS MEDIA PRIVATE LIMITED,Delhi,Strike Off
U92400DL1965PLC004495,RAHUL CLUB LIMITED,Delhi,Strike Off
U92490DL1980PTC011186,PAS PUBLIC RELATIONS AND TRADE FAIR CONSULTANCE PRIVATE LIMITED,Delhi,Strike Off
